label,message,length
0,"['you', 'gorgeous', '!', 'keep', 'pix', 'cumming', ':', ')', 'thank', '!']",10
1,"['you', '?', '1,000', 'cash', '?', '2,000', 'prize', '!', 'to', 'claim', ',', 'call09050000327', '.', 't', '&', 'c', ':', 'rstm', ',', 'sw7', '3ss', '.', '150ppm']",23
0,"['i', 'sent', '.', 'do', 'like', '?']",6
0,"['quite', 'late', 'lar', '...', 'ard', '12', 'anyway', 'wun', 'b', 'drivin', '...']",11
0,"['beautiful', 'tomorrow', 'never', 'come', '..', 'when', 'come', ',', ""'s"", 'already', 'today', '..', 'in', 'hunt', 'beautiful', 'tomorrow', ""n't"", 'waste', 'wonderful', 'today', '..', 'goodmorning', ':', ')']",24
0,"['is', 'coming', 'friday', 'leave', 'pongal', '?', 'get', 'news', 'work', 'place', '.']",11
0,"['hi', 'dear', 'call', 'urgnt', '.', 'i', ""n't"", 'know', 'whats', 'problem', '.', 'you', ""n't"", 'want', 'work', 'problem', 'least', 'tell', '.', 'wating', 'reply', '.']",22
0,"['this', 'phone', 'weirdest', 'auto', 'correct', '.']",6
0,"['is', 'telly', '?', 'no', 'brdget', 'jones', '!']",7
0,"['lol', 'great', 'im', 'getting', 'hungry', '.']",6
0,"['would', 'good', '…', 'i', ""'ll"", 'phone', 'tomo', 'lunchtime', ',', 'shall', 'i', ',', 'organise', 'something', '?']",15
0,"['good', 'evening', 'sir', ',', 'hope', 'nice', 'day', '.', 'i', 'wanted', 'bring', 'notice', 'i', 'late', 'paying', 'rent', 'past', 'month', 'pay', '$', '&', 'lt', ';', '#', '&', 'gt', ';', 'charge', '.', 'i', 'felt', 'would', 'inconsiderate', 'nag', 'something', 'give', 'great', 'cost', ""'s"", 'didnt', 'speak', '.', 'i', 'however', 'recession', 'wont', 'able', 'pay', 'charge', 'month', 'hence', 'askin', 'well', 'ahead', 'month', ""'s"", 'end', '.', 'can', 'please', 'help', '.', 'thank', 'everything', '.']",65
0,"['aathi', '..', 'dear', '..']",4
